text_content,extracted_keywords,true_category,true_severity
A security guard says there is a forest fire near River Bridge. They noticed toxic fumes. Visibility is poor.,river bridge; security guard; forest fire,FIRE,2
"It's, um, Heavy dense fog is making the situation worse near Coastal Road. There is a forest fire. People are moving away. People are moving away. Please hurry!",dense fog; coastal road; forest fire,FIRE,2
911? I am near Industrial Area and there has been a stampede. The road is affected and I can see gas leak. Visibility is poor.,industrial area; gas leak; stampede,RESCUE,3
Oh my god! Caller reports a crowd emergency at North Underpass. There is fallen tree.,north underpass; crowd emergency; fallen tree,RESCUE,2
Please hurry! The caller says there is a evacuation at Underpass. People are moving away. Traffic is building up. Send someone now!,underpass; evacuation; please,RESCUE,1
I think there has been a road blockage near Coastal Road. two injured people. Please hurry!,two injured people; road blockage; coastal road,RESCUE,3
"It's, um, I think there has been a medical emergency near Station Road. a seriously injured driver.",a seriously injured driver; station road; medical emergency,MEDICAL,3
"It's, um, Reports are coming in from Highway Toll Plaza about a forest fire. There is smoke. People are moving away.",highway toll plaza; forest fire; smoke,FIRE,2
Oh my god! A cyclist says there is a power line failure near Bus Terminal. They noticed fallen tree.,power line failure; fallen tree; bus terminal,HAZMAT,2
"It's, um, Oh my god! Caller reports a earthquake damage at Coastal Road. There is oil spill. Traffic is building up.",oil spill; earthquake damage; coastal road,RESCUE,5
911? Please send help to Forest Checkpoint. We have a evacuation involving a motorcycle. What do I do?!,forest checkpoint; motorcycle; evacuation,RESCUE,1
I think there has been a motorcycle accident near Station Road. two injured people. Please hurry!,two injured people; motorcycle accident; station road,CRASH,2
"It's, um, Please hurry! Reports are coming in from Station Road about a crowd emergency. There is unstable structure. The incident happened about ten minutes ago.",crowd emergency; unstable structure; station road,RESCUE,1
There's... Please hurry! A resident says there is a road blockage near River Bridge. They noticed oil spill. People are moving away. The weather is cold weather. Send someone now!,cold weather; road blockage; oil spill,RESCUE,2
The caller says there is a forest fire at South Flyover. Please hurry!,south flyover; forest fire; caller,FIRE,3
Ahhh! Caller reports a train derailment at Central Flyover. There is gas leak.,central flyover; gas leak; train derailment,CRASH,5
Oh my god! We have a severe rainfall near Eastern Bypass. It happened about half an hour ago. Please hurry!,severe rainfall; eastern bypass; happened,CYCLONE,2
Ahhh! We have a forest fire near Riverbank. It happened just now. Please hurry!,forest fire; riverbank; ahhh,FIRE,2
I think there has been a crowd emergency near Underpass. an injured child. The weather is cold weather.,an injured child; cold weather; crowd emergency,RESCUE,2
"It's, um, I think there has been a flash flood near Airport Road. three injured passengers. Visibility is poor. A worker is waiting.",three injured passengers; airport road; flash flood,FLOOD,2
911? I am near Coastal Road and there has been a industrial accident. The road is affected and I can see toxic fumes. Visibility is poor.,industrial accident; coastal road; toxic fumes,MEDICAL,2
There's... Ahhh! I think there has been a fallen tree near Commercial Street. a seriously injured driver. Visibility is poor.,a seriously injured driver; fallen tree; commercial street,RESCUE,2
"Wait, yes, Reports are coming in from Shopping District about a medical emergency. There is fire.",shopping district; medical emergency; fire,MEDICAL,3
There's... Please send help to Warehouse District. We have a wildfire involving a motorcycle. The incident happened before sunrise. The incident happened before sunrise. What do I do?!,warehouse district; wildfire; motorcycle,FIRE,3
"I... I don't know, We have a fuel leak near Tunnel Entrance. It happened about half an hour ago. Please hurry!",fuel leak; tunnel entrance; dont,HAZMAT,3
Ahhh! We have a lightning strike near Central Market. It happened late last night.,lightning strike; central market; ahhh,CYCLONE,2
"I... I don't know, 911? The caller says there is a aircraft emergency at Warehouse District. The incident happened early this morning. The weather is heavy rain. What do I do?!",aircraft emergency; heavy rain; warehouse district,CRASH,1
We have a bus crash near Harbor Area. It happened around midnight. Traffic is building up. The incident happened around midnight. Send someone now!,bus crash; harbor area; happened,CRASH,2
Oh my god! Reports are coming in from City Hospital about a aircraft emergency. There is rising water. Traffic is building up. Please hurry!,city hospital; rising water; aircraft emergency,CRASH,2
"Wait, yes, Ahhh! I think there has been a earthquake damage near Industrial Area. people with minor injuries. People are moving away. Please hurry!",people with minor injuries; industrial area; earthquake damage,RESCUE,4
"I... I don't know, Help! There has been a bridge damage near Main Highway. I can see a sedan involved and people with minor injuries. The weather is lightning. What do I do?!",people with minor injuries; main highway; bridge damage,RESCUE,2
There's... The caller says there is a lightning strike at College Road. A resident is waiting. The incident happened a few minutes ago. What do I do?!,lightning strike; college road; resident,CYCLONE,2
The caller says there is a train derailment at Eastern Bypass. A elderly person is waiting.,elderly person; eastern bypass; train derailment,CRASH,4
"I... I don't know, Heavy extreme heat is making the situation worse near College Road. There is a earthquake damage. Visibility is poor. Traffic is building up.",extreme heat; earthquake damage; college road,RESCUE,4
There's... Ahhh! Please send help to Commercial Street. We have a earthquake damage involving a ambulance. Traffic is building up.,earthquake damage; commercial street; ambulance,RESCUE,4
Caller reports a drowning at Dam Road. There is fallen tree.,fallen tree; dam road; drowning,RESCUE,4
There's... 911? Reports are coming in from Outer Ring Road about a bridge damage. There is debris. People are moving away. People are moving away. Send someone now!,outer ring road; bridge damage; debris,RESCUE,1
Ahhh! Reports are coming in from City Hospital about a forest fire. There is toxic fumes. The weather is dust storm. What do I do?!,city hospital; dust storm; forest fire,FIRE,3
There's... Help! Heavy continuous rainfall is making the situation worse near Port Entrance. There is a bus crash. The weather is continuous rainfall.,port entrance; continuous rainfall; bus crash,CRASH,3
911? Please send help to Bus Terminal. We have a urban flooding involving a fuel tanker.,urban flooding; bus terminal; fuel tanker,FLOOD,3
"Wait, yes, Help! The caller says there is a missing person at Forest Checkpoint. People are moving away. People are moving away.",missing person; forest checkpoint; wait,RESCUE,2
"Wait, yes, Ahhh! Caller reports a crowd emergency at Factory Road. There is unstable structure.",crowd emergency; unstable structure; factory road,RESCUE,1
"It's, um, Oh my god! I am near River Bridge and there has been a building fire. The road is affected and I can see broken glass. Visibility is poor. Please hurry!",broken glass; river bridge; building fire,FIRE,2
"Wait, yes, A security guard says there is a severe rainfall near Riverbank. They noticed debris.",severe rainfall; security guard; riverbank,CYCLONE,2
"It's, um, We have a building collapse near Eastern Bypass. It happened early this morning. The weather is continuous rainfall.",building collapse; continuous rainfall; eastern bypass,RESCUE,5
Heavy continuous rainfall is making the situation worse near College Road. There is a motorcycle accident. The weather is continuous rainfall.,continuous rainfall; motorcycle accident; college road,CRASH,1
I think there has been a road blockage near City Center. an unconscious person.,an unconscious person; city center; road blockage,RESCUE,4
Ahhh! I think there has been a severe rainfall near Western Expressway. three injured passengers. The weather is stormy weather. Please hurry!,three injured passengers; stormy weather; severe rainfall,CYCLONE,2
"Wait, yes, Heavy cold weather is making the situation worse near Highway Toll Plaza. There is a storm damage. A cyclist is waiting. The weather is cold weather.",highway toll plaza; storm damage; cold weather,CYCLONE,3
A elderly person says there is a hazardous material incident near North Underpass. They noticed gas leak.,hazardous material incident; north underpass; elderly person,HAZMAT,2
"Wait, yes, Heavy cyclonic winds is making the situation worse near Highway Toll Plaza. There is a electrical accident. People are moving away. Traffic is building up.",highway toll plaza; electrical accident; cyclonic winds,FIRE,2
I think there has been a vehicle collision near Underpass. one injured person. The incident happened about half an hour ago. The incident happened about half an hour ago.,one injured person; vehicle collision; underpass,CRASH,2
Oh my god! I think there has been a evacuation near Riverbank. people with minor injuries.,people with minor injuries; riverbank; evacuation,RESCUE,1
"Wait, yes, A passenger says there is a landslide near Airport Road. They noticed unstable structure. Traffic is building up. The incident happened around midnight.",airport road; unstable structure; passenger,RESCUE,2
"It's, um, Ahhh! A resident says there is a heat emergency near North Underpass. They noticed toxic fumes. People are moving away. A resident is waiting.",north underpass; heat emergency; toxic fumes,MEDICAL,1
"I... I don't know, Ahhh! There has been a gas leak near Old Railway Crossing. I can see a ambulance involved and a trapped passenger. The incident happened early this morning. Visibility is poor. What do I do?!",a trapped passenger; old railway crossing; gas leak,HAZMAT,4
"It's, um, Oh my god! Reports are coming in from Highway Toll Plaza about a railway accident. There is gas leak. Traffic is building up.",highway toll plaza; railway accident; gas leak,CRASH,3
Help! I am near Ring Road and there has been a railway accident. The road is affected and I can see chemical fumes. People are moving away. The weather is dense fog.,ring road; railway accident; dense fog,CRASH,1
"I... I don't know, Ahhh! Please send help to Factory Road. We have a severe rainfall involving a fuel tanker. What do I do?!",severe rainfall; fuel tanker; factory road,CYCLONE,2
"I... I don't know, Please send help to Riverbank. We have a hazardous material incident involving a ambulance. The weather is continuous rainfall. A security guard is waiting.",hazardous material incident; continuous rainfall; security guard,HAZMAT,2
A cyclist says there is a power line failure near City Center. They noticed broken glass.,power line failure; city center; broken glass,HAZMAT,1
"It's, um, Help! There has been a truck accident near Dam Road. I can see a van involved and several injured people. The incident happened about ten minutes ago. The weather is lightning. Please hurry!",several injured people; truck accident; dam road,CRASH,3
Please hurry! Heavy dense fog is making the situation worse near Riverbank. There is a cold exposure. People are moving away. Visibility is poor. Send someone now!,dense fog; cold exposure; riverbank,MEDICAL,1
"I... I don't know, We have a heat emergency near Factory Road. It happened before sunrise.",heat emergency; factory road; dont,MEDICAL,1
"Wait, yes, Ahhh! Reports are coming in from River Bridge about a hazardous material incident. There is chemical fumes. The incident happened about half an hour ago. Traffic is building up.",hazardous material incident; river bridge; chemical fumes,HAZMAT,1
Reports are coming in from South Flyover about a vehicle collision. There is rising water. Traffic is building up. The incident happened around midnight. Send someone now!,vehicle collision; rising water; south flyover,CRASH,2
"It's, um, I am near Residential Block and there has been a severe rainfall. The road is affected and I can see fuel leak. The incident happened early this morning.",severe rainfall; fuel leak; residential block,CYCLONE,2
Please send help to Western Expressway. We have a building collapse involving a car. What do I do?!,building collapse; western expressway; car,RESCUE,4
I am near Highway Toll Plaza and there has been a cold exposure. The road is affected and I can see fire. People are moving away. The incident happened just now. Send someone now!,highway toll plaza; cold exposure; fire,MEDICAL,2
"It's, um, Ahhh! There has been a severe rainfall near River Bridge. I can see a fuel tanker involved and three injured passengers. Traffic is building up. A worker is waiting. Please hurry!",three injured passengers; severe rainfall; river bridge,CYCLONE,2
911? Please send help to Harbor Area. We have a missing person involving a bus. The incident happened just now. People are moving away.,missing person; harbor area; bus,RESCUE,1
I think there has been a flash flood near Riverbank. several injured people. A security guard is waiting. Traffic is building up. Please hurry!,several injured people; security guard; flash flood,FLOOD,3
"Wait, yes, Reports are coming in from Commercial Street about a landslide. There is debris. People are moving away.",commercial street; debris; landslide,RESCUE,1
Help! The caller says there is a landslide at Old Railway Crossing. The incident happened early this morning. The weather is continuous rainfall.,old railway crossing; continuous rainfall; landslide,RESCUE,1
"I... I don't know, Ahhh! I am near River Bridge and there has been a aircraft emergency. The road is affected and I can see gas leak. Visibility is poor. A resident is waiting. Please hurry!",river bridge; gas leak; aircraft emergency,CRASH,3
Help! The caller says there is a crowd emergency at Outer Ring Road. Please hurry!,outer ring road; crowd emergency; help,RESCUE,1
"I... I don't know, I think there has been a lightning strike near Dam Road. two injured people. People are moving away. A worker is waiting.",two injured people; lightning strike; dam road,CYCLONE,2
Ahhh! I think there has been a vehicle collision near Coastal Road. an unconscious person. The incident happened late last night.,an unconscious person; vehicle collision; coastal road,CRASH,4
Oh my god! I think there has been a chemical spill near Factory Road. an injured child. A cyclist is waiting.,an injured child; chemical spill; factory road,HAZMAT,2
A driver says there is a industrial accident near College Road. They noticed fire. The weather is strong winds. Please hurry!,strong winds; industrial accident; college road,MEDICAL,2
"It's, um, We have a evacuation near Port Entrance. It happened this afternoon. People are moving away.",port entrance; evacuation; happened,RESCUE,2
There's... Ahhh! We have a missing person near North Underpass. It happened about half an hour ago. Visibility is poor. Traffic is building up.,north underpass; missing person; theres,RESCUE,1
A shopkeeper says there is a industrial accident near Main Highway. They noticed broken glass. People are moving away.,main highway; broken glass; industrial accident,MEDICAL,2
"It's, um, We have a train derailment near Outer Ring Road. It happened during rush hour. The incident happened during rush hour. People are moving away. Send someone now!",outer ring road; train derailment; happened,CRASH,5
911? Caller reports a bus crash at Central Flyover. There is gas leak. The incident happened early this morning. The incident happened early this morning. Send someone now!,central flyover; bus crash; gas leak,CRASH,3
There's... Reports are coming in from Airport Junction about a railway accident. There is gas leak.,railway accident; airport junction; gas leak,CRASH,3
Reports are coming in from Old Bridge about a crowd emergency. There is fire. People are moving away.,crowd emergency; old bridge; fire,RESCUE,3
"Wait, yes, I think there has been a fuel leak near Airport Road. a seriously injured driver.",a seriously injured driver; airport road; fuel leak,HAZMAT,3
Caller reports a bus crash at Railway Yard. There is fallen tree. The incident happened about half an hour ago.,fallen tree; railway yard; bus crash,CRASH,3
Oh my god! There has been a earthquake damage near Residential Block. I can see a truck involved and one injured person. A driver is waiting. What do I do?!,one injured person; earthquake damage; residential block,RESCUE,4
I am near Airport Junction and there has been a bus crash. The road is affected and I can see toxic fumes. A elderly person is waiting. Visibility is poor.,airport junction; bus crash; elderly person,CRASH,2
"Wait, yes, Reports are coming in from Ring Road about a explosion. There is chemical fumes.",ring road; chemical fumes; explosion,RESCUE,4
Help! Caller reports a heat emergency at Coastal Road. There is debris. Traffic is building up. The incident happened just now. What do I do?!,coastal road; heat emergency; debris,MEDICAL,2
I think there has been a evacuation near Forest Checkpoint. an injured child. The incident happened before sunrise. The incident happened before sunrise. Send someone now!,an injured child; forest checkpoint; evacuation,RESCUE,2
There has been a factory fire near College Road. I can see a truck involved and several injured people.,several injured people; college road; factory fire,FIRE,2
"Wait, yes, 911? Please send help to Underpass. We have a earthquake damage involving a motorcycle. The weather is wet roads. Visibility is poor. Send someone now!",earthquake damage; wet roads; motorcycle,RESCUE,5
The caller says there is a urban flooding at Railway Yard. A security guard is waiting. Send someone now!,railway yard; security guard; urban flooding,FLOOD,2
Caller reports a gas leak at Eastern Bypass. There is debris. The incident happened around midnight.,gas leak; eastern bypass; debris,HAZMAT,3
Caller reports a earthquake damage at College Road. There is rising water. People are moving away.,rising water; earthquake damage; college road,RESCUE,5
Help! The caller says there is a wildfire at Airport Road.,airport road; wildfire; help,FIRE,3
"Wait, yes, We have a lightning strike near Underpass. It happened around noon.",lightning strike; underpass; wait,CYCLONE,2
There has been a drowning near City Center. I can see a motorcycle involved and an injured child.,an injured child; city center; drowning,RESCUE,5
I think there has been a boat accident near Harbor Area. an unconscious person. The incident happened a few minutes ago. Please hurry!,an unconscious person; boat accident; harbor area,CRASH,4
There's... A worker says there is a dam overflow near Industrial Area. They noticed rising water. The incident happened early this morning. A worker is waiting.,industrial area; rising water; dam overflow,FLOOD,1
"I... I don't know, I think there has been a flash flood near Highway Toll Plaza. a seriously injured driver. Traffic is building up. The incident happened this afternoon.",a seriously injured driver; highway toll plaza; flash flood,FLOOD,3
There's... Reports are coming in from North Underpass about a electrical accident. There is fallen tree.,electrical accident; north underpass; fallen tree,FIRE,2
Help! We have a fuel leak near Bus Terminal. It happened around midnight. The weather is strong winds. People are moving away.,fuel leak; strong winds; bus terminal,HAZMAT,2
We have a flash flood near Old Railway Crossing. It happened about ten minutes ago.,old railway crossing; flash flood; happened,FLOOD,3
There's... There has been a warehouse fire near Ring Road. I can see a car involved and one injured person. Please hurry!,one injured person; ring road; warehouse fire,FIRE,3
"I... I don't know, Please hurry! Please send help to Underpass. We have a aircraft emergency involving a school bus. People are moving away. People are moving away.",school bus; aircraft emergency; underpass,CRASH,2
911? Please send help to Airport Road. We have a gas leak involving a ambulance. Visibility is poor. Send someone now!,airport road; gas leak; ambulance,HAZMAT,3
"Wait, yes, Oh my god! Please send help to Riverbank. We have a railway accident involving a truck. People are moving away. What do I do?!",railway accident; riverbank; truck,CRASH,1
Oh my god! The caller says there is a cyclone damage at Harbor Area. A construction worker is waiting.,construction worker; cyclone damage; harbor area,CYCLONE,1
"I... I don't know, 911? I think there has been a evacuation near Eastern Bypass. one injured person. A shopkeeper is waiting. What do I do?!",one injured person; eastern bypass; shopkeeper,RESCUE,3
The caller says there is a cyclone damage at Underpass. A construction worker is waiting.,construction worker; cyclone damage; underpass,CYCLONE,1
I think there has been a severe rainfall near River Bridge. an unconscious person. The incident happened just now. The weather is continuous rainfall.,an unconscious person; severe rainfall; continuous rainfall,CYCLONE,5
A construction worker says there is a railway accident near Residential Block. They noticed oil spill. A construction worker is waiting. The weather is poor visibility.,railway accident; construction worker; poor visibility,CRASH,2
We have a power line failure near South Flyover. It happened before sunrise. The incident happened before sunrise. The incident happened before sunrise.,power line failure; south flyover; happened,HAZMAT,1
"It's, um, Help! Please send help to Forest Checkpoint. We have a cyclone damage involving a train. Send someone now!",cyclone damage; forest checkpoint; train,CYCLONE,1
There's... Please hurry! I think there has been a crowd emergency near College Road. three injured passengers. People are moving away.,three injured passengers; crowd emergency; college road,RESCUE,3
Heavy continuous rainfall is making the situation worse near Bus Depot. There is a flash flood. The incident happened before sunrise. Please hurry!,continuous rainfall; bus depot; flash flood,FLOOD,2
"I... I don't know, Help! We have a flash flood near Ring Road. It happened about ten minutes ago. People are moving away.",ring road; flash flood; dont,FLOOD,3
I think there has been a motorcycle accident near Railway Station. an injured child.,an injured child; railway station; motorcycle accident,CRASH,2
Reports are coming in from Eastern Bypass about a missing person. There is toxic fumes. The weather is cold weather.,cold weather; missing person; eastern bypass,RESCUE,1
Reports are coming in from Market Road about a wildfire. There is fire. The incident happened just now. People are moving away.,market road; wildfire; reports,FIRE,2
"It's, um, Oh my god! The caller says there is a truck accident at Outer Ring Road. Visibility is poor. The incident happened around noon. Send someone now!",outer ring road; truck accident; caller,CRASH,1
We have a explosion near Ring Road. It happened about ten minutes ago. A driver is waiting. The incident happened about ten minutes ago. Send someone now!,ring road; driver; explosion,RESCUE,4
"Wait, yes, Ahhh! I am near College Road and there has been a road blockage. The road is affected and I can see diesel leak. The weather is dust storm. Please hurry!",dust storm; road blockage; diesel leak,RESCUE,2
There has been a railway accident near Port Entrance. I can see a bus involved and a trapped passenger. Send someone now!,a trapped passenger; railway accident; port entrance,CRASH,4
There's... The caller says there is a urban flooding at Commercial Street. Traffic is building up.,urban flooding; commercial street; theres,FLOOD,3
There's... Ahhh! I am near Railway Yard and there has been a chemical spill. The road is affected and I can see unstable structure. Traffic is building up. Visibility is poor. Please hurry!,railway yard; unstable structure; chemical spill,HAZMAT,3
The caller says there is a heat emergency at Central Flyover. The weather is thunderstorm. Please hurry!,central flyover; heat emergency; thunderstorm,MEDICAL,2
Please hurry! Caller reports a landslide at Market Road. There is live electrical wires. Send someone now!,live electrical wires; market road; landslide,RESCUE,2
There's... I think there has been a power line failure near Bus Depot. one injured person.,one injured person; power line failure; bus depot,HAZMAT,2
There's... Help! There has been a road blockage near Industrial Area. I can see a train involved and people with minor injuries. The incident happened before sunrise. Traffic is building up. Send someone now!,people with minor injuries; industrial area; road blockage,RESCUE,2
"I... I don't know, Oh my god! Caller reports a forest fire at Harbor Area. There is live electrical wires. People are moving away. Send someone now!",live electrical wires; harbor area; forest fire,FIRE,2
"I... I don't know, The caller says there is a building fire at Station Road. A construction worker is waiting. People are moving away.",construction worker; building fire; station road,FIRE,2
"It's, um, Help! The caller says there is a vehicle collision at Highway Toll Plaza. Visibility is poor. The weather is dust storm.",highway toll plaza; dust storm; vehicle collision,CRASH,3
Caller reports a road blockage at Warehouse District. There is rising water. The incident happened just now. Send someone now!,rising water; road blockage; warehouse district,RESCUE,2
"I... I don't know, Ahhh! Heavy heavy rain is making the situation worse near Old Railway Crossing. There is a power line failure. Visibility is poor. The weather is heavy rain.",old railway crossing; power line failure; heavy rain,HAZMAT,2
There has been a boat accident near Western Expressway. I can see a car involved and three injured passengers.,three injured passengers; boat accident; western expressway,CRASH,2
"Wait, yes, I think there has been a fallen tree near Ring Road. a seriously injured driver. Traffic is building up.",a seriously injured driver; ring road; fallen tree,RESCUE,3
I am near Industrial Gate and there has been a industrial accident. The road is affected and I can see fallen tree.,fallen tree; industrial gate; industrial accident,MEDICAL,2
There's... Please hurry! The caller says there is a fuel leak at River Bridge. The incident happened during rush hour.,fuel leak; river bridge; theres,HAZMAT,3
911? Please send help to Industrial Area. We have a gas leak involving a bus. Visibility is poor.,industrial area; gas leak; bus,HAZMAT,2
"It's, um, Caller reports a earthquake damage at Tunnel Entrance. There is debris. The incident happened around midnight.",earthquake damage; tunnel entrance; debris,RESCUE,4
We have a road blockage near Tunnel Entrance. It happened about half an hour ago.,road blockage; tunnel entrance; happened,RESCUE,1
Help! The caller says there is a medical emergency at Airport Road. The incident happened during rush hour.,airport road; medical emergency; help,MEDICAL,1
I think there has been a dam overflow near Central Market. an unconscious person.,an unconscious person; central market; dam overflow,FLOOD,4
We have a railway accident near North Underpass. It happened about ten minutes ago. People are moving away.,railway accident; north underpass; happened,CRASH,1
Help! A elderly person says there is a gas leak near Factory Road. They noticed blocked road. A elderly person is waiting.,blocked road; elderly person; gas leak,HAZMAT,2
Help! A elderly person says there is a dam overflow near River Bridge. They noticed rising water. Traffic is building up.,rising water; river bridge; elderly person,FLOOD,1
Caller reports a lightning strike at Old Railway Crossing. There is chemical fumes. The weather is dust storm. Send someone now!,old railway crossing; lightning strike; dust storm,CYCLONE,2
The caller says there is a gas leak at Station Road. The weather is cyclonic winds. A child is waiting.,gas leak; cyclonic winds; station road,HAZMAT,3
Ahhh! There has been a electrical accident near North Underpass. I can see a SUV involved and an injured child. People are moving away. Visibility is poor. Please hurry!,an injured child; electrical accident; north underpass,FIRE,3
"It's, um, We have a fuel leak near South Flyover. It happened a few minutes ago. A construction worker is waiting. Send someone now!",construction worker; fuel leak; south flyover,HAZMAT,2
"It's, um, Oh my god! I think there has been a drowning near Temple Road. a trapped passenger. Traffic is building up. Traffic is building up. Please hurry!",a trapped passenger; temple road; drowning,RESCUE,4
911? Heavy stormy weather is making the situation worse near Railway Yard. There is a truck accident. The incident happened about ten minutes ago. Visibility is poor.,stormy weather; railway yard; truck accident,CRASH,3
Help! We have a landslide near Highway Toll Plaza. It happened about ten minutes ago. A child is waiting.,highway toll plaza; child; landslide,RESCUE,1
I am near College Road and there has been a truck accident. The road is affected and I can see toxic fumes.,truck accident; college road; toxic fumes,CRASH,2
Please hurry! We have a missing person near City Center. It happened about half an hour ago. Send someone now!,city center; missing person; please,RESCUE,1
Reports are coming in from Railway Yard about a warehouse fire. There is toxic fumes. People are moving away. A pedestrian is waiting.,railway yard; warehouse fire; toxic fumes,FIRE,3
The caller says there is a factory fire at Airport Road. A passenger is waiting.,airport road; factory fire; passenger,FIRE,3
Oh my god! Please send help to Railway Station. We have a missing person involving a motorcycle. Send someone now!,railway station; missing person; motorcycle,RESCUE,1
Please hurry! We have a explosion near Highway Toll Plaza. It happened about half an hour ago. The incident happened about half an hour ago. Traffic is building up.,highway toll plaza; explosion; please,RESCUE,5
There's... Please send help to Main Highway. We have a building collapse involving a container truck. Send someone now!,main highway; container truck; building collapse,RESCUE,5
"Wait, yes, Please send help to Industrial Area. We have a electrical accident involving a sedan. People are moving away.",industrial area; electrical accident; sedan,FIRE,1
911? I think there has been a lightning strike near Coastal Road. a trapped passenger. What do I do?!,a trapped passenger; lightning strike; coastal road,CYCLONE,4
"Wait, yes, Oh my god! Reports are coming in from Residential Block about a earthquake damage. There is toxic fumes. Send someone now!",earthquake damage; residential block; toxic fumes,RESCUE,5
Caller reports a lightning strike at Airport Junction. There is toxic fumes. The incident happened a few minutes ago. A pedestrian is waiting. Please hurry!,lightning strike; airport junction; toxic fumes,CYCLONE,1
We have a evacuation near Commercial Street. It happened just now. A driver is waiting.,commercial street; driver; evacuation,RESCUE,2
"I... I don't know, There has been a gas leak near Port Entrance. I can see a delivery vehicle involved and people with minor injuries. The weather is thunderstorm. Send someone now!",people with minor injuries; port entrance; gas leak,HAZMAT,2
I am near Bus Depot and there has been a forest fire. The road is affected and I can see oil spill. A resident is waiting.,oil spill; bus depot; forest fire,FIRE,2
There's... Caller reports a crowd emergency at Tunnel Entrance. There is live electrical wires. People are moving away. People are moving away.,live electrical wires; crowd emergency; tunnel entrance,RESCUE,2
There has been a flash flood near Market Road. I can see a sedan involved and an unconscious person.,an unconscious person; market road; flash flood,FLOOD,4
911? Caller reports a train derailment at River Bridge. There is unstable structure. Visibility is poor. The weather is dense fog.,dense fog; unstable structure; river bridge,CRASH,5
Ahhh! Caller reports a crowd emergency at Harbor Area. There is blocked road. People are moving away. Send someone now!,crowd emergency; blocked road; harbor area,RESCUE,1
"It's, um, Oh my god! Reports are coming in from Forest Checkpoint about a missing person. There is gas leak. What do I do?!",missing person; gas leak; forest checkpoint,RESCUE,2
There's... We have a fuel leak near Harbor Area. It happened late last night. Traffic is building up.,fuel leak; harbor area; theres,HAZMAT,3
Oh my god! We have a cold exposure near Underpass. It happened about ten minutes ago. Visibility is poor.,cold exposure; underpass; happened,MEDICAL,1
There's... Please hurry! We have a fuel leak near Main Highway. It happened about ten minutes ago. People are moving away. Traffic is building up. Send someone now!,main highway; fuel leak; theres,HAZMAT,2
"Wait, yes, Ahhh! We have a fallen tree near Old Bridge. It happened before sunrise. Traffic is building up.",fallen tree; old bridge; wait,RESCUE,2
We have a building collapse near Old Bridge. It happened this afternoon.,old bridge; building collapse; happened,RESCUE,4
"It's, um, 911? Caller reports a forest fire at Eastern Bypass. There is rising water.",rising water; eastern bypass; forest fire,FIRE,2
911? Reports are coming in from Coastal Road about a heat emergency. There is fallen tree.,fallen tree; coastal road; heat emergency,MEDICAL,1
911? There has been a missing person near Central Market. I can see a container truck involved and people with minor injuries. Send someone now!,people with minor injuries; container truck; missing person,RESCUE,1
There's... Please send help to North Underpass. We have a bridge damage involving a train. A security guard is waiting.,north underpass; security guard; bridge damage,RESCUE,1
"Wait, yes, Ahhh! I am near Warehouse District and there has been a medical emergency. The road is affected and I can see live electrical wires. What do I do?!",live electrical wires; warehouse district; medical emergency,MEDICAL,2
Ahhh! There has been a fallen tree near Temple Road. I can see a sedan involved and people with minor injuries. A elderly person is waiting.,people with minor injuries; fallen tree; temple road,RESCUE,1
A worker says there is a storm damage near Industrial Gate. They noticed fuel leak.,storm damage; industrial gate; fuel leak,CYCLONE,3
Please hurry! The caller says there is a factory fire at Coastal Road. Visibility is poor.,coastal road; factory fire; please,FIRE,3
"I... I don't know, Oh my god! I think there has been a lightning strike near Underpass. people with minor injuries. Traffic is building up. The incident happened early this morning.",people with minor injuries; lightning strike; underpass,CYCLONE,1
911? Reports are coming in from Western Expressway about a stampede. There is blocked road. Visibility is poor. The weather is wet roads. What do I do?!,blocked road; wet roads; western expressway,RESCUE,2
Please hurry! I am near Dam Road and there has been a boat accident. The road is affected and I can see fallen tree. Traffic is building up. Traffic is building up. Please hurry!,boat accident; fallen tree; dam road,CRASH,1
911? A pedestrian says there is a drowning near Port Entrance. They noticed broken glass. A pedestrian is waiting. Send someone now!,broken glass; port entrance; drowning,RESCUE,5
"Wait, yes, 911? We have a explosion near Outer Ring Road. It happened around midnight. The weather is dust storm. The incident happened around midnight. Send someone now!",outer ring road; dust storm; explosion,RESCUE,5
"It's, um, Oh my god! A driver says there is a building fire near Airport Road. They noticed unstable structure. Visibility is poor. The weather is heavy rain. What do I do?!",airport road; unstable structure; heavy rain,FIRE,3
"I... I don't know, Oh my god! There has been a dam overflow near South Flyover. I can see a tanker involved and several injured people. The weather is dense fog.",several injured people; dense fog; south flyover,FLOOD,2
Caller reports a explosion at Eastern Bypass. There is toxic fumes. The weather is cold weather. Send someone now!,cold weather; eastern bypass; toxic fumes,RESCUE,5
A pedestrian says there is a railway accident near Riverbank. They noticed diesel leak. Visibility is poor. The weather is strong winds.,railway accident; diesel leak; strong winds,CRASH,2
The caller says there is a building collapse at Railway Station. Send someone now!,railway station; building collapse; caller,RESCUE,5
911? Heavy cold weather is making the situation worse near Market Road. There is a gas leak. The incident happened late last night.,cold weather; gas leak; market road,HAZMAT,2
911? I am near Market Road and there has been a flash flood. The road is affected and I can see broken glass. People are moving away. People are moving away.,broken glass; market road; flash flood,FLOOD,3
